                  Temp     Hi    Low   Out    Dew  Wind  Wind  Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir   Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
12/31/20  1:55a   26.3   26.3   26.1    60   14.3   0.0   ---  0.00   0.0   ---   26.3   25.7   25.7   22.1   828.3  0.00  0.00     0     0.00      0     0.134   0.000   68.9    12   14.1   63.4   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  2:00a   26.6   26.6   26.3    59   14.2   0.0   ---  0.00   0.0   ---   26.6   26.0   26.0   22.4   828.4  0.00  0.00     0     0.00      0     0.133   0.000   69.0    12   14.2   63.5   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  2:05a   26.6   26.7   26.6    58   13.8   0.0   WSW  0.00   2.0   WSW   26.6   26.0   26.0   22.4   828.4  0.00  0.00     0     0.00      0     0.133   0.000   68.9    12   14.1   63.4   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  2:10a   26.7   26.7   26.6    57   13.5   0.0   WSW  0.00   3.0   WSW   26.7   26.1   26.1   22.5   828.5  0.00  0.00     0     0.00      0     0.133   0.000   68.5    12   13.8   62.9   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  2:15a   26.4   26.7   26.3    58   13.6   2.0   WSW  0.17   4.0   WSW   24.8   25.8   24.2   20.6   828.3  0.00  0.00     0     0.00      0     0.134   0.000   68.7    12   14.0   63.1   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  2:20a   26.3   26.3   26.3    59   13.9   1.0   WSW  0.08   3.0   WSW   26.3   25.7   25.7   22.1   828.4  0.00  0.00     0     0.00      0     0.134   0.000   68.9    12   14.1   63.4   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  2:25a   26.3   26.3   26.3    59   13.9   0.0   WSW  0.00   2.0   WSW   26.3   25.7   25.7   22.1   828.3  0.00  0.00     0     0.00      0     0.134   0.000   69.0    12   14.2   63.5   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  2:30a   26.4   26.4   26.3    59   14.0   0.0   WSW  0.00   2.0   WSW   26.4   25.8   25.8   22.2   828.3  0.00  0.00     0     0.00      0     0.134   0.000   69.2    12   14.4   63.7   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  2:35a   26.5   26.6   26.4    57   13.3   1.0   WSW  0.08   3.0   WSW   26.5   25.9   25.9   22.3   828.3  0.00  0.00     0     0.00      0     0.134   0.000   69.2    12   14.4   63.7   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  2:40a   26.7   26.7   26.5    58   13.9   0.0   ---  0.00   0.0   ---   26.7   26.1   26.1   22.5   828.2  0.00  0.00     0     0.00      0     0.133   0.000   69.0    12   14.2   63.5   2.95  .0611    0.000   117    1    100.0    5 
